Name,Vendor Name,price ,calories,carbs,protein,fat
Chicken Tenders,The Loop,9.99,500,12,20,15
Lo Mein,Panda Express,3.99,600,20,5,15
Bacon Clubhouse Burger 9.7 oz (274 g),McDonald's,14.50980392,740,51,40,41
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),McDonald's,12.2,610,50,45,26
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),McDonald's,11.79104478,790,67,40,40
McChicken Œ 5.1 oz (144 g),McDonald's,9.25,370,40,14,17
Buffalo Ranch McChicken 5.2 oz (148 g),McDonald's,9.024390244,370,41,14,17
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),McDonald's,10.73170732,440,41,20,21
Bacon Cheddar McChicken 6.1 oz (172 g),McDonald's,11.39534884,490,43,22,25
Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g),McDonald's,10.2173913,470,46,25,21
Filet-O-Fish 5 oz (142 g),McDonald's,10,390,39,15,19
McRib Œ 7.3 oz (208 g),McDonald's,11.36363636,500,44,22,26
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g),McDonald's,11.89655172,690,58,36,34
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g),McDonald's,12.19512195,500,41,41,19
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g),McDonald's,11.18644068,660,59,31,34
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g),McDonald's,11.46341463,470,41,35,19
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g),McDonald's,9.21875,590,64,27,25
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g),McDonald's,8.695652174,400,46,31,10
Big Mac 7.5 oz (212 g),McDonald's,11.4893617,540,47,25,28
Quarter PounderŒ with Cheese 7.3 oz (206 g),McDonald's,12.85714286,540,42,31,28
Double Quarter Pounder with Cheese 10.3 oz (291 g),McDonald's,18.13953488,780,43,50,45
Hamburger 3.5 oz (99 g),McDonald's,7.8125,250,32,12,8
Cheeseburger 4 oz (113 g),McDonald's,9.090909091,300,33,15,12
BBQ Ranch Burger 4 oz (114 g),McDonald's,9.459459459,350,37,15,15
Grilled Onion Cheddar 4 oz (114 g),McDonald's,9.6875,310,32,15,13
Double Cheeseburger 5.7 oz (163 g),McDonald's,12.57142857,440,35,25,22
McDouble 5.2 oz (148 g),McDonald's,11.47058824,390,34,22,18
Bacon McDouble 5.7 oz (162 g),McDonald's,13.52941176,460,34,28,23
Daily Double 6.8 oz (191 g),McDonald's,12.94117647,440,34,22,24
Ranch Snack WrapŒ (Buttermilk Crispy) 4.6 oz (129 g),McDonald's,11.51515152,380,33,16,21
Ranch Snack WrapŒ (Grilled) 4.5 oz (128 g),McDonald's,11.6,290,25,19,13
Mac Snack Wrap 4.4 oz (125 g),McDonald's,12.69230769,330,26,14,19
Jalape_o Double 5.7 oz (160 g),McDonald's,12.57142857,440,35,23,24
Premium Crispy Chicken Deluxe Sandwich 8 oz (227 g),McDonald's,8.983050847,530,59,25,22
Chow Mein 9.4 oz,Panda Express,7.846153846,510,65,13,4
Chow Fun 8.5 oz,Panda Express,5.616438356,410,73,9,1
Fried Rice 9.3 oz,Panda Express,6.341463415,520,82,12,3
Brown Steamed Rice 10.4 oz,Panda Express,4.88372093,420,86,9,1
White Steamed Rice 8.1 oz,Panda Express,4.367816092,380,87,7,0
Mixed Vegetables (Side) 8.6 oz,Panda Express,5,80,16,4,0
Country Style Bean Curd 5.7 oz,Panda Express,13.64285714,191,14,7,1.5
Eggplant Tofu 6.1 oz,Panda Express,14.7826087,340,23,7,3.5
Hot Szechuan Tofu 5.5 oz,Panda Express,14,140,10,6,1
Mixed Veggies (Entree) 4.3 oz,Panda Express,4.375,35,8,2,0
Black Pepper Chicken 6.3 oz,Panda Express,20,280,14,13,3
Kung Pao Chicken 6.2 oz,Panda Express,20.71428571,290,14,16,3
Grilled Teriyaki Chicken 6 oz,Panda Express,37.5,300,8,36,4
Grilled Asian Chicken 6 oz,Panda Express,37.5,300,8,36,4
Teriyaki Chicken 6 oz,Panda Express,24.28571429,340,14,41,3.5
Asian Chicken 6 oz,Panda Express,24.28571429,340,14,41,3.5
Mushroom Chicken 5.7 oz,Panda Express,15.45454545,170,11,12,2
Orange Chicken 5.7 oz,Panda Express,8.444444444,380,45,14,3.5
Potato Chicken 5.2 oz,Panda Express,10.55555556,190,18,8,2
String Bean Chicken Breast 5.6 oz,Panda Express,14.61538462,190,13,14,2
SweetFire Chicken Breasté 5.8 oz,Panda Express,8.085106383,380,47,13,3
Sweet & Sour Chicken Breast 5.5 oz,Panda Express,7.5,300,40,10,3
Beijing Beefé 5.6 oz,Panda Express,10.2173913,470,46,13,5
Broccoli Beef 5.4 oz,Panda Express,11.53846154,150,13,9,1.5
Shanghai Angus Steaké 5.4 oz,Panda Express,19.375,310,16,22,4
Chinese Spare Ribs 5 pc,Panda Express,52.85714286,370,7,28,9
Crispy Shrimp (Entree) 3.5 oz / 6 pcs,Panda Express,10,260,26,9,2
Honey Walnut Shrimp 3.7 oz,Panda Express,10.28571429,360,35,13,3.5
Golden Treasure Shrimp 5 oz,Panda Express,10.28571429,360,35,14,3
Steamed Ginger Fish 6 oz,Panda Express,25,200,8,15,2.5
Crispy Shrimp 1.8 oz / 3 pcs,Panda Express,10,130,13,5,1
Chicken Egg Roll 3.3 oz / 3 pcs,Panda Express,8,160,20,6,1.5
Chicken Potsticker 3.3 oz / 3 pcs,Panda Express,8,160,20,6,1.5
Cream Cheese Rangoon 2.4 oz / 3 pcs,Panda Express,7.916666667,190,24,5,5
Veggie Spring Roll 3.4 oz / 2 rolls,Panda Express,7.037037037,190,27,3,1.5
Hot & Sour Soup (Cup) 12.2 oz,Panda Express,8.571428571,120,14,7,0.5
Hot & Sour Soup (Bowl) 17.4 oz,Panda Express,8.5,170,20,10,1
Teriyaki Sauce 1.8 oz,Panda Express,4.375,70,16,0,0
Sweet & Sour Sauce 1.8 oz,Panda Express,3.333333333,70,21,0,0
Chili Sauce 1 packet (7 g),Panda Express,5,10,2,0,0
Soy Sauce 1 packet (7 g),Panda Express,100,5,0,0,0
Potsticker Sauce 1 packet (11.4 g),Panda Express,3.333333333,10,3,0,0
Hot Mustard 1 packet 7 g,Panda Express,100,10,0,0,0
Plum Sauce 1 packet 7 g,Panda Express,5,15,3,0,0
Fortune Cookies 8 g / 1 pc,Panda Express,4.571428571,32,7,1,0
Chocolate Chip Chunk Cookie 1.2 oz / 1 pc,Panda Express,6.4,160,25,2,3
Eggplant Tofu 4.6 oz,Panda Express,9.411764706,160,17,5,2.5
Hot Szechuan Tofu 4.1 oz,Panda Express,7.142857143,50,7,4,0.5
Mixed Veggies (Entree) 3.2 oz,Panda Express,0,0,6,2,0
Black Pepper Chicken 4.6 oz,Panda Express,10.90909091,120,11,10,2.5
Kung Pao Chicken 4.4 oz,Panda Express,12,120,10,11,2.5
Grilled Teriyaki Chicken 3.6 oz,Panda Express,14,70,5,22,2.5
Grilled Asian Chicken 3.6 oz,Panda Express,14,70,5,22,2.5
Teriyaki Chicken 3.6 oz,Panda Express,8.75,70,8,25,2
Asian Chicken 3.6 oz,Panda Express,8.75,70,8,25,2
Mushroom Chicken 4.4 oz,Panda Express,12.5,100,8,10,2
Orange Chicken 4.1 oz,Panda Express,3.75,120,32,10,2.5
Potato Chicken 3.9 oz,Panda Express,4.666666667,70,15,6,1.5
String Bean Chicken Breast 4.2 oz,Panda Express,6,60,10,11,1.5
SweetFire Chicken Breasté 4.4 oz,Panda Express,2.857142857,100,35,10,2
Sweet & Sour Chicken Breast 4.1 oz,Panda Express,2.571428571,90,35,9,2
Beijing Beefé 4.2 oz,Panda Express,5.294117647,180,34,10,4
Broccoli Beef 5.1 oz,Panda Express,5,50,10,7,1
Shanghai Angus Steaké 4.1 oz,Panda Express,10.83333333,130,12,17,3
Chinese Spare Ribs 3 pcs,Panda Express,10.83333333,130,12,17,3
Crispy Shrimp 220,Panda Express,4.705882353,80,17,6,1.5
Honey Walnut Shrimp 140,Panda Express,7.857142857,110,14,7,2
Golden Treasure Shrimp 5 oz,Panda Express,4.571428571,160,35,14,3
Steamed Ginger Fish 2 oz,Panda Express,11.66666667,35,3,5,1
Asiago Cheese Bagel,Au Bon Pain,1.99,300,46,13,7
Cinnamon Raisin Bagel,Au Bon Pain,1.99,240,52,7,0.5
Everything Bagel,Au Bon Pain,1.99,250,50,8,2
Plain Bagel,Au Bon Pain,1.99,240,49,7,1
Blueberry Muffin,Au Bon Pain,2.99,480,59,6,4.5
2 Eggs on a Bagel with Ham,Au Bon Pain,3.99,440,52,26,14
The Good Egg,Au Bon Pain,4.99,540,47,24,28
"Egg Whites, Cheddar & Avocado on Skinny Wheat Bagel",Au Bon Pain,3.99,360,25,19,23
Turkey and Swiss Sandwich (Whole Sandwich),Au Bon Pain,6.99,660,31,18,28
Chipotle Turkey & Avocado (Whole Sandwich),Au Bon Pain,6.99,680,63,39,30
 Chicken Caesar Wrap (Whole Sandwich),Au Bon Pain,6.99,560,50,29,26
Caesar Asiago Salad,Au Bon Pain,7.99,180,19,10,8
Southwest Chicken Salad,Au Bon Pain,7.99,350,36,24,14
Thai Peanut Chicken Salad,Au Bon Pain,7.99,220,21,22,6
Macaroni and Cheese (Small),Au Bon Pain,2.99,590,61,20,29
Clam Chowder (Small),Au Bon Pain,2.99,230,21,7,13
Harvest Pizza,Il Forno,8.75,490,35,13,11
Margherita Pizza,Il Forno,8.75,525,68,31,18
Rustic Pizza,Il Forno,8.75,340,53,15,8
Kyle's BBQ Pizza,Il Forno,8.75,580,65,31,23
Buffalo Pizza,Il Forno,8.75,405,54,25,10
Bruschetta Pizza,Il Forno,8.75,412,46,16,19.5
Meatball Sandwich,Il Forno,7.75,416,54,23,12.1
Italian Sandwich,Il Forno,7.75,502,41,28,24.8
Chicken Wings (5 wings),Il Forno,4.5,360,27,23,18
Chicken Alfredo Pasta (Large),Il Forno,7.99,475,60,7,15
Chicken Basil Pesto Pasta (Large),Il Forno,7.99,397,46,11,18.3
 Spaghetti and Meatballs (Large),Il Forno,7.99,440,50,24,15.8
Omelet,Skillet,8.99,316,7,4,25.4
Biscuits and Gravy,Skillet,6.99,415,22,12,30
Hashbrowns,Skillet,3,210,26,2,12
Hash Casserole,Skillet,3,155,17,5,7
Sausage,Skillet,2,180,2,7,16
Mac n Cheese,Skillet,3,400,65,25,12.3
Collard Greens,Skillet,3,12,2,1,0.2
Banana Pudding,Skillet,3.5,130,24,1,3.5
Potato Salad,Skillet,4,358,28,7,21
Fried Chicken,Skillet,3.75,250,11,22,13
Coleslaw,Skillet,3,120,3,0.5,8
Fruit cup,Skillet,4,60,14,0,0
Pulled Pork,Skillet,5.5,283,2,26,18.2
Classic Caesar Salad,JB's Chophouse,8.99,260,7,3,25
Apple and Fennel Chopped Salad,JB's Chophouse,8.99,180,8,6,13.7
Chop House Steak Burger,JB's Chophouse,10.5,536,3,40,27
Marinated Grilled Chicken Breast,JB's Chophouse,7.5,160,0.2,23,4
JB's Flank Steak,JB's Chophouse,12.5,212,0.2,22.2,13
Cheesy Twice Baked Potato,JB's Chophouse,4.2,270,22,10,16
Steamed Broccoli,JB's Chophouse,3.5,38,1,1,0.4
Salmon,JB's Chophouse,6.5,240,0,23,4
Mahi Mahi,JB's Chophouse,8,240,13.3,23,4
Carrot Cake,JB's Chophouse,5,280,46,4,25
Spinach and Pear,JB's Chophouse,4.5,340,32,0,14
Garden Salad,Gyotaku,3.95,125,20,5,1
Veggie Roll,Gyotaku,6.25,200,28,10,5
California Roll,Gyotaku,6.25,225,28,9,7
Green Dragon,Gyotaku,7.49,184,27,24,2
Salmon Crunch Roll,Gyotaku,7.49,320,40,15,10
Salmon Avocado,Gyotaku,7.49,304,42,13,8.4
Spicy Tuna,Gyotaku,7.49,290,26,24,11
Sashimi Bowl,Gyotaku,9.95,245,55,6,1
Shrimp Tempura,Gyotaku,8.49,510,64,20,21
Rainbow,Gyotaku,8.49,476,50,33,16
Dancing Eel,Gyotaku,8.49,372,31,20,17
Red Dragon,Gyotaku,8.49,400,40,20,15
Gyotaku Special,Gyotaku,9.95,317,38,13,12
Hampeno,Gyotaku,9.95,420,40,20,15
Duke,Gyotaku,9.95,450,40,20,15
Dumpling,Ginger and Soy,4.8,260,29,14,6
Express,Ginger and Soy,8.45,400,38,20,14
Bibimap,Ginger and Soy,8.45,400,38,20,14
Ramen,Ginger and Soy,8.45,500,40,11,14
Poke,Ginger and Soy,8.45,500,40,11,14
Loop Burger,The Loop,7.89,615,41,43,30
Bacon Cheddar Burger,The Loop,9.59,794,41,54,44
Turkey Burger,The Loop,8.89,700,38,50,40
Southwest Burger,The Loop,8.79,794,41,54,44
Pesto Chicken Ciabatta,The Loop,9.39,570,45,46,22
Grilled Chicken Sandwich,The Loop,8.39,685,63,52,22
Asian Chicken Salad,The Loop,8.29,567,36,29,33
Chicken Caesar Salad,The Loop,8.29,844,13,40,70
Crispy Chicken Salad,The Loop,8.59,510,32,25,31
Walnut Gorgonzola Salad,The Loop,8.29,773,40,20,56
Buffalo Chicken Wrap,The Loop,8.99,590,65,23,26
Chicken Caesar Wrap,The Loop,8.49,632,56,29,32
Meat Market Pizza,The Loop,8.59,1100,90,72,45
Special Pizza,The Loop,8.59,1000,90,72,45
Farmers Market Pizza,The Loop,8.59,860,90,72,32
BBQ Chicken Pizza,The Loop,8.59,1050,90,72,45
Mediterranean Pizza,The Loop,8.59,1050,90,72,45
Cajun Chicken Alfredo Pasta,The Loop,9.99,930,70,60,40
Bowtie Shrimp Pasta,The Loop,10.99,930,70,60,40
Chicken Quesedilla,Devil's Krafthouse,9.2,630,32,35,40
Nachos w/ Beef,Devil's Krafthouse,10.85,1100,93,48,57
Chicken Tenders,Devil's Krafthouse,7,570,60,40,40
Crispy Chicken Sandwich,Devil's Krafthouse,9.5,880,60,45,40
Turkey Double Decker,Devil's Krafthouse,9.5,880,57,42,38
Cheese Steak Sandwich,Devil's Krafthouse,9.5,900,49,39,34
Chicken Caesar Salad,Devil's Krafthouse,10.5,844,13,40,70
Greek Salad,Devil's Krafthouse,8,650,13,32,52
Classic Burger,Devil's Krafthouse,8.75,700,41,43,30
BBQ Burger,Devil's Krafthouse,9.5,750,50,47,33
Krazy Burger,Devil's Krafthouse,9.85,890,55,50,38
Taco,Devil's Krafthouse,8.75,600,60,49,37
Burrito,Devil's Krafthouse,9.85,579,65,50,40
Lobster Bisque,The Commons,6,590,30,15,44
Mussels,The Commons,11,129,5,4,18
Caesar Salad,The Commons,8,280,7,3,25
House Salad,The Commons,6,183,19,20,4
Filet Mignon,The Commons,26,582,3,45,43
Ribeye,The Commons,27,740,4,49,60
Stuffed Chicken Breast,The Commons,16,602,38,42,31
Grilled Atlantic Salmon,The Commons,20,350,0,44,27
Jumbo Sea Scallops,The Commons,24,100,0,20,1
Lobster Mac'n Cheese,The Commons,21,540,37,29,31
Three Cheese Ravioli,The Commons,16,406,53,20,12
Lump Crab Cakes,The Commons,21,460,0,0,15
New York Cheesecake,The Commons,6,260,32,5,14
Cast Iron Chocolate Brownie,The Commons,7,250,36,2,12